"nb","gflops","ib"
374,3.65548347425058,187
376,3.77895142428572,94
378,3.76900035589424,126
380,3.77026089226943,76
382,3.65362347528004,191
384,3.78734659478549,96
386,3.68133907711215,193
388,3.77571537536683,97
390,3.80128164049984,78
392,3.792070910556,98
394,3.694242312594,197
396,3.76034782187451,132
398,3.53584323226885,199
400,3.82637809398541,100
402,3.78668858306958,134
404,3.78959109430406,101
406,3.75712514877277,58
408,3.83241612025866,102
410,3.83580627567092,82
412,3.73615809127966,206
414,3.79602433035356,138
416,3.84683965288762,104
418,3.723578038248,209
420,3.83519947820415,84
422,3.69765195014785,211
424,3.8345074879142,106
426,3.83380986858418,142
428,3.78176289564823,107
430,3.87106354801644,86
432,3.87134663772737,108
434,3.79320043803478,62
436,3.82137747245147,109
438,3.85651476696422,146
440,3.82304761306363,88
442,3.75110829231845,221
444,3.85382170737184,148
446,3.73285545980881,223
448,3.8747615641187,112
450,3.90717118662236,90
452,3.85817455608941,113
454,3.74457937006551,227
456,3.87311196709325,114
458,3.76382117993661,229
460,3.90735016659307,92
462,3.88344398193182,154
464,3.89231156464175,116
466,3.76926901401631,233
468,3.86845523300575,78
470,3.91965357636346,94
472,3.89716361156614,118
474,3.88351343959566,158
476,3.84509055645874,119
478,3.7245754001139,239
480,3.92600402568772,120
482,3.78344611350997,241
484,3.85871680030494,121
486,3.90082902329122,162
488,3.91817587819408,122
490,3.92445894377285,98
492,3.89319263697791,82
494,3.76428256056854,247
496,3.92867745445882,124
498,3.87296027194074,83
500,3.9403711514395,100
502,3.77065964035875,251
504,3.92425358174094,126
506,3.77916222302603,253
508,3.85718650331297,127
510,3.91067859269698,102
512,3.90201843183999,128
