"nb","gflops","ib"
212,6.19751920437619,53
214,5.52312530291588,107
216,6.31363380069917,54
218,5.93712972567178,109
220,6.19192165893258,44
222,6.05287068898749,111
224,6.42117038111942,56
226,5.8092025867492,113
228,6.21938909907594,38
230,6.20949056353411,46
232,6.10112278301656,29
234,6.29874348638285,39
236,6.15609884036793,118
238,6.03202398263943,119
240,6.46718688598215,40
242,6.0070223623756,22
244,6.2154646585658,61
246,6.05847119293833,82
248,6.34655460086962,31
250,6.07697632993412,50
252,6.30804597701149,63
254,6.08338740932681,127
256,6.35303277012443,64
258,6.16258136747598,86
260,6.20249144228394,52
262,6.04116451631324,131
264,6.39546193952033,24
266,6.38433926614903,38
268,6.20707811074099,67
270,6.31324713814217,45
272,6.30874913787698,68
274,6.03701418949654,137
276,6.38313422005787,46
278,6.08725088539453,139
280,6.60528374556177,40
282,6.51164157435503,47
284,6.3548480527335,71
286,6.00744611734132,143
288,6.56635440031666,32
290,6.20566293141176,29
292,6.18625744798215,146
294,6.18277244681472,98
296,6.41248556628383,37
298,6.18592950493568,149
300,6.34526713574641,60
302,6.07312102978174,151
304,6.3602858844011,76
306,6.35860030358712,102
308,6.36622588271181,77
310,6.41047159174047,31
312,6.55951206448213,39
314,6.22220560777717,157
316,6.46097472081509,79
318,6.2225337177577,159
320,6.65276613196304,40
322,6.4228779419856,46
324,6.45508382899417,54
326,6.14803781171865,163
328,6.37679977736576,82
330,6.44504663812723,110
332,6.38529272173986,83
334,6.13625425308709,167
336,6.59555057891159,48
338,6.11258324481852,169
340,6.43495544287798,85
342,6.46028352987917,38
344,6.5380580606304,86
346,6.11334089966542,173
348,6.54273733693298,87
350,6.48696328416606,70
352,6.63895370077206,32
354,6.48940965822318,118
356,6.35960346579801,89
358,6.21340624310208,179
360,6.72202075562222,40
362,6.23017564504309,181
364,6.44045093865429,91
366,6.47599709934735,61
368,6.55821829656982,46
370,6.49362470225962,37
372,6.5656436209289,62
374,6.26335693153886,22
376,6.64113559529551,47
378,6.5954031354026,63
380,6.51736773028797,95
382,6.13752521382202,191
384,6.65918351266199,48
386,6.04019017752213,193
388,6.24249327509536,97
390,6.63049565243635,39
392,6.67544605455053,56
394,6.05388286763469,197
396,6.5261170219474,132
398,6.01779160780421,199
400,6.76269696354906,40
402,6.57304361199249,134
404,6.52431199105544,101
406,6.40722029679272,58
408,6.64331944362932,102
410,6.4435635418517,82
412,6.62120846035864,103
414,6.64306923184946,46
416,6.7179873462608,32
418,6.62217394458146,38
420,6.61204819277109,70
422,6.09411829578813,211
424,6.55236942543754,53
426,6.66627369147193,71
428,6.56732968680633,107
430,6.5255788376464,86
432,6.75624265685625,72
434,6.61352728449496,62
436,6.64442203320533,109
438,6.45725948866125,146
440,6.81897504042522,40
442,6.3026624916975,34
444,6.64195779361213,111
446,6.08564521882288,223
448,6.78345633001637,64
450,6.57908986549416,150
452,6.51540265567895,113
454,6.10343625666915,227
456,6.68227546935784,38
458,6.1543924203891,229
460,6.71069867490313,46
462,6.60919204037452,77
464,6.65192931055148,116
466,6.23427156234598,233
468,6.73884555710416,39
470,6.76155494337312,47
472,6.71306030988056,118
474,6.74775377791858,79
476,6.72110279500203,119
478,6.09423260848943,239
480,6.86454880637593,40
482,6.24812623450246,241
484,6.61736250780625,44
486,6.65402552836292,54
488,6.67104490634705,61
490,6.70387591598573,70
492,6.65561014865318,123
494,6.64607306867485,38
496,6.72504566071635,62
498,6.61471512580738,166
500,6.68781800574617,125
502,6.18623386276504,251
504,6.80772659353281,72
506,6.6889477705954,46
508,6.7075223462115,127
510,6.63255,102
512,6.67527381420124,64
