"nb","gflops","ib"
306,5.06331946717183,102
308,4.90180851849118,28
310,4.97579828901085,62
312,4.87917901000533,156
314,4.5821952519093,157
316,4.96110232407498,158
318,4.78009679874423,106
320,4.94841375311088,64
322,4.72943942974031,46
324,5.07425502394486,108
326,4.81852643056622,163
328,4.99656658680668,82
330,5.09081791369536,66
332,4.93246709834643,83
334,4.84583262886558,167
336,5.06516971558286,84
338,4.65525134963748,26
340,5.15588064760715,68
342,4.96089589999256,57
344,5.13944413442382,43
346,4.69645909535159,173
348,5.16336263930136,87
350,5.03478256785067,70
352,5.18365161995769,44
354,4.98955835940857,118
356,4.82585884170016,89
358,4.87750738811523,179
360,5.28134098246345,40
362,4.7757905969999,181
364,4.96441979487053,91
366,4.8728217462605,122
368,5.01328182842427,46
370,4.93275682413548,74
372,5.18000080499094,62
374,4.89223282085812,34
376,5.20915822276228,94
378,5.10377154520714,63
380,5.26017101882741,76
382,4.89127864939806,191
384,5.28156255538248,48
386,4.72079127950882,193
388,4.94598316652272,97
390,5.07633457134544,78
392,5.16792395202389,56
394,4.70158997617034,197
396,5.14316893184585,36
398,4.80476721056603,199
400,5.14812937892645,100
402,5.01995997310935,134
404,4.91533835259038,101
406,5.0784968659412,58
408,5.06819136313775,51
410,4.96957155012042,82
412,5.12160763980432,103
414,5.04464268448742,46
416,5.19058199227087,52
418,5.01897592721125,38
420,5.21265593009266,60
422,4.84054826284669,211
424,5.11931227627152,106
426,5.09411350742285,71
428,5.20032845819653,107
430,5.17795622244365,86
432,5.22858010039301,108
434,5.16164396709035,62
436,5.09255586755227,109
438,5.1117941355396,73
440,5.30857196273331,88
442,4.94198948085321,34
444,5.20379688586869,74
446,4.69374826728744,223
448,5.26837710200973,64
450,5.08964477211796,90
452,5.10632906632752,113
454,4.78027054087742,227
456,5.24338850333177,76
458,4.75558793974824,229
460,5.27709406343183,92
462,5.11431369091456,154
464,5.13592539085997,58
466,4.89582265742927,233
468,5.20394939382247,52
470,5.18430671513602,94
472,5.18682444397311,118
474,5.06173739870244,158
476,5.26057361376673,68
478,4.68108592785626,239
480,5.28145102365363,48
482,4.86092547576052,241
484,5.21250966600005,44
486,5.06522887929893,162
488,5.23523084893123,122
490,5.19249696568465,70
492,5.22977121628624,82
494,4.99094512409696,38
496,5.1126847642551,124
498,5.12045936791307,83
500,5.21500419286337,100
502,4.81412309109106,251
504,5.28907037272675,56
506,5.11162817123693,46
508,5.04615223541639,127
510,5.16807311998878,102
512,5.26947437850401,64
